product_length_cm,product_width_cm,product_height_cm,ID_Shape
16,14,10,1
30,20,18,2
18,15,9,3
26,26,4,4
20,13,17,5
38,11,5,6
70,44,24,7
40,40,8,8
27,17,13,9
17,12,10,10
16,16,10,11
50,45,19,12
17,17,7,13
68,13,11,14
16,11,2,15
27,20,5,16
40,20,15,17
100,15,7,18
29,45,24,19
36,16,8,20
21,13,7,21
20,13,13,22
40,30,10,23
50,50,5,24
35,50,25,25
42,30,2,26
23,13,13,27
62,23,23,28
70,34,8,29
40,34,10,30
52,17,51,31
34,31,9,32
33,44,30,33
87,42,3,34
18,16,12,35
19,15,20,36
25,25,25,37
49,41,13,38
22,15,17,39
45,35,15,40
70,11,11,41
18,79,40,42
22,38,32,43
47,47,40,44
25,25,16,45
69,11,11,46
19,17,28,47
60,15,30,48
36,24,16,49
18,17,14,50
41,49,17,51
20,30,40,52
32,37,12,53
19,11,3,54
30,23,20,55
38,39,40,56
20,12,14,57
25,14,20,58
24,16,7,59
23,20,16,60
16,11,5,61
16,16,5,62
23,15,7,63
60,15,15,64
17,11,3,65
27,53,50,66
17,16,9,67
60,25,25,68
16,11,11,69
44,20,20,70
25,25,8,71
40,20,20,72
18,27,21,73
20,20,20,74
21,18,16,75
19,16,13,76
63,56,66,77
29,23,22,78
21,31,16,79
30,30,18,80
29,24,12,81
17,17,13,82
55,40,40,83
38,27,9,84
100,11,10,85
105,70,3,86
25,18,8,87
50,12,10,88
20,33,24,89
16,11,4,90
18,11,6,91
53,20,8,92
47,23,19,93
35,26,4,94
17,12,11,95
50,12,12,96
35,25,2,97
75,55,25,98
42,15,25,99
27,22,10,100
20,32,26,101
23,16,22,102
55,46,10,103
16,11,6,104
16,16,20,105
23,30,7,106
36,19,6,107
30,18,18,108
43,33,8,109
45,35,13,110
19,11,5,111
38,28,8,112
18,15,13,113
45,43,22,114
32,16,51,115
26,14,14,116
16,11,15,117
70,70,15,118
41,34,9,119
37,23,3,120
80,28,70,121
21,15,7,122
16,12,25,123
39,28,12,124
40,40,20,125
16,11,3,126
16,16,18,127
18,16,13,128
25,20,20,129
22,18,7,130
20,20,12,131
21,16,9,132
18,27,32,133
50,50,8,134
50,50,50,135
65,38,8,136
16,17,12,137
24,24,11,138
16,20,2,139
40,40,40,140
32,22,21,141
39,25,28,142
20,35,60,143
17,14,10,144
58,58,28,145
16,13,10,146
56,15,15,147
18,15,21,148
16,11,9,149
23,13,9,150
20,25,25,151
24,14,7,152
46,14,10,153
17,12,4,154
24,17,5,155
21,28,13,156
55,30,30,157
40,40,10,158
40,26,25,159
34,24,14,160
36,20,4,161
84,20,14,162
33,26,12,163
17,20,20,164
57,36,14,165
20,20,25,166
29,23,12,167
61,35,63,168
50,36,12,169
19,19,12,170
16,37,44,171
35,35,7,172
30,30,10,173
30,25,10,174
30,18,10,175
38,19,36,176
75,50,15,177
35,25,5,178
20,15,2,179
18,11,11,180
16,30,10,181
29,22,19,182
40,40,6,183
30,17,34,184
71,44,81,185
17,16,16,186
45,40,20,187
16,11,12,188
65,45,7,189
100,16,35,190
45,31,10,191
34,16,16,192
30,20,10,193
17,13,11,194
39,25,12,195
24,14,16,196
31,31,32,197
25,19,2,198
25,14,13,199
32,38,8,200
25,25,10,201
75,50,5,202
20,15,24,203
46,15,3,204
23,11,9,205
40,27,10,206
17,17,14,207
20,11,2,208
18,13,8,209
33,44,88,210
25,20,7,211
20,22,33,212
30,22,19,213
22,15,11,214
50,70,13,215
85,50,11,216
55,40,5,217
17,24,7,218
16,19,23,219
61,24,6,220
18,16,22,221
22,21,24,222
26,20,5,223
30,30,20,224
39,30,2,225
63,24,61,226
19,12,4,227
36,27,18,228
22,33,12,229
18,13,11,230
16,16,27,231
30,20,20,232
30,30,17,233
53,40,27,234
20,18,19,235
23,23,15,236
70,49,35,237
40,50,6,238
21,13,4,239
16,15,20,240
16,16,2,241
35,25,10,242
30,11,45,243
16,11,7,244
56,22,9,245
16,11,16,246
16,16,16,247
30,16,12,248
20,15,16,249
16,20,30,250
26,40,60,251
65,12,12,252
13,12,11,253
26,17,17,254
46,33,10,255
42,42,35,256
21,17,16,257
32,22,14,258
32,23,3,259
31,12,6,260
20,13,8,261
68,13,8,262
29,16,7,263
16,18,21,264
16,15,27,265
26,20,40,266
35,35,102,267
28,19,14,268
19,11,4,269
22,15,3,270
44,19,19,271
45,15,10,272
29,21,3,273
20,20,10,274
25,16,25,275
22,14,14,276
23,35,43,277
66,67,19,278
19,11,11,279
30,30,30,280
42,36,11,281
50,30,50,282
30,35,8,283
45,34,10,284
19,35,48,285
40,30,55,286
49,50,4,287
17,16,13,288
105,40,10,289
30,24,7,290
26,33,8,291
60,30,5,292
45,16,55,293
45,45,25,294
28,18,12,295
26,13,6,296
19,19,19,297
21,14,6,298
20,14,8,299
18,30,22,300
18,16,15,301
16,11,22,302
36,26,6,303
16,12,7,304
32,30,5,305
22,20,15,306
68,35,9,307
100,11,7,308
25,20,30,309
35,15,10,310
21,34,34,311
19,14,7,312
35,15,6,313
18,16,25,314
30,18,22,315
20,30,20,316
16,41,41,317
20,14,9,318
49,39,16,319
20,18,8,320
68,13,7,321
20,20,16,322
18,16,11,323
16,15,16,324
40,30,25,325
35,20,20,326
21,13,9,327
18,15,12,328
38,28,28,329
27,23,18,330
45,53,29,331
55,55,15,332
40,20,26,333
35,27,7,334
17,15,10,335
49,27,12,336
28,25,10,337
29,21,5,338
28,11,32,339
30,25,5,340
30,30,13,341
16,14,4,342
19,20,13,343
20,13,14,344
78,47,4,345
51,31,31,346
23,11,3,347
50,31,28,348
46,35,10,349
17,18,17,350
22,20,17,351
27,20,19,352
40,30,4,353
18,12,18,354
20,11,6,355
24,12,12,356
35,25,25,357
36,36,40,358
53,36,15,359
18,13,29,360
26,25,25,361
16,12,16,362
35,30,20,363
26,21,13,364
32,16,5,365
31,21,5,366
100,27,23,367
40,105,9,368
17,17,12,369
27,20,10,370
32,28,28,371
36,36,18,372
36,15,8,373
28,38,28,374
20,15,13,375
44,30,8,376
33,33,25,377
32,21,26,378
55,30,37,379
19,13,13,380
18,18,17,381
25,25,23,382
20,12,9,383
16,13,12,384
16,12,9,385
21,14,7,386
16,16,4,387
56,28,30,388
34,27,5,389
22,16,7,390
37,30,12,391
19,13,12,392
18,14,10,393
17,17,22,394
26,23,23,395
28,12,13,396
76,51,51,397
17,17,17,398
19,12,3,399
20,15,15,400
20,20,7,401
20,17,16,402
22,18,10,403
29,17,2,404
16,15,21,405
23,17,30,406
20,20,35,407
24,24,20,408
26,19,15,409
16,11,17,410
20,18,11,411
45,45,50,412
35,35,9,413
35,35,15,414
16,11,10,415
47,13,13,416
33,33,10,417
16,60,65,418
33,33,14,419
38,29,2,420
35,29,14,421
39,39,17,422
55,60,40,423
35,11,8,424
20,20,8,425
40,35,8,426
17,15,9,427
22,16,16,428
27,27,30,429
42,25,19,430
16,20,6,431
17,12,3,432
22,15,7,433
16,25,103,434
40,50,30,435
20,18,9,436
32,20,11,437
41,31,55,438
20,18,14,439
58,46,15,440
16,11,40,441
22,20,11,442
20,20,5,443
63,17,33,444
16,25,30,445
21,17,15,446
45,35,25,447
37,35,23,448
40,33,9,449
20,30,30,450
22,27,52,451
19,22,17,452
48,25,16,453
20,19,11,454
24,15,16,455
24,18,13,456
18,15,11,457
22,16,9,458
18,16,17,459
20,15,17,460
68,33,9,461
35,40,30,462
31,16,16,463
35,25,9,464
30,23,6,465
20,44,34,466
40,35,10,467
30,16,16,468
17,17,8,469
17,13,10,470
21,21,23,471
18,14,11,472
33,37,7,473
31,21,12,474
30,20,6,475
42,20,12,476
45,35,14,477
17,13,13,478
16,16,15,479
52,17,52,480
48,48,30,481
29,25,10,482
19,25,17,483
18,14,6,484
35,50,35,485
40,31,16,486
27,16,15,487
88,67,28,488
